name,website,locality,country,linkedin_url
allied testing,alliedtesting.com,new york,united states,linkedin.com/company/allied-testing
digital divide data (ddd),digitaldividedata.com,new york,united states,linkedin.com/company/digital-divide-data
dataart,dataart.com,new york,united states,linkedin.com/company/dataart
vitech systems group,vitechinc.com,new york,united states,linkedin.com/company/vitech-systems-group
andela,andela.com,new york,united states,linkedin.com/company/andela
fiverr (fiverr.com),fiverr.com,new york,united states,linkedin.com/company/fiverr-com
verizon media,verizonmedia.com,new york,united states,linkedin.com/company/verizon-media
ipsoft,ipsoft.com,new york,united states,linkedin.com/company/ipsoft
pipedrive,pipedrive.com,new york,united states,linkedin.com/company/pipedrive
iyogi inc.,iyogi.com,new york,united states,linkedin.com/company/iyogi
datadog,datadoghq.com,new york,united states,linkedin.com/company/datadog
infopro digital,infopro-digital.com,new york,united states,linkedin.com/company/infopro-digital
clear (clearme.com),clearme.com,new york,united states,linkedin.com/company/clear-by-alclear-llc
rakuten marketing,rakutenmarketing.com,new york,united states,linkedin.com/company/rakuten-marketing
sisense,sisense.com,new york,united states,linkedin.com/company/sisense
fareportal,fareportal.com,new york,united states,linkedin.com/company/fareportal
openlink financial,openlink.com,new york,united states,linkedin.com/company/openlink-financial
shutterstock,shutterstock.com,new york,united states,linkedin.com/company/shutterstock
ibm,ibm.com,new york,united states,linkedin.com/company/ibm
born group,borngroup.com,new york,united states,linkedin.com/company/born-group
synechron,synechron.com,new york,united states,linkedin.com/company/synechron
innovation interactive,innovationinteractive.com,new york,united states,linkedin.com/company/innovation-interactive
invisionapp,invisionapp.com,new york,united states,linkedin.com/company/invisionapp
magic software inc.,magicsw.com,new york,united states,linkedin.com/company/magic-software-inc
quark,quark.com,new york,united states,linkedin.com/company/quark
